x,phi0,phi0_asymptotic
2.565,3.274247103,3.275393378
2.58,3.289270353,3.290393378
2.595,3.304293104,3.305393378
2.61,3.319315369,3.320393378
2.625,3.334337159,3.335393378
2.64,3.349358485,3.350393378
2.655,3.364379357,3.365393378
2.67,3.379399786,3.380393378
2.685,3.394419781,3.395393378
2.7,3.409439352,3.410393378
2.715,3.42445851,3.425393378
2.73,3.439477263,3.440393378
2.745,3.45449562,3.455393378
2.76,3.46951359,3.470393378
2.775,3.484531182,3.485393378
2.79,3.499548405,3.500393378
2.805,3.514565266,3.515393378
2.82,3.529581774,3.530393378
2.835,3.544597937,3.545393378
2.85,3.559613762,3.560393378
2.865,3.574629256,3.575393378
2.88,3.589644428,3.590393378
2.895,3.604659284,3.605393378
2.91,3.619673831,3.620393378
2.925,3.634688076,3.635393378
2.94,3.649702025,3.650393378
2.955,3.664715686,3.665393378
2.97,3.679729063,3.680393378
2.985,3.694742165,3.695393378
3,3.709754996,3.710393378
3.015,3.724767563,3.725393378
3.03,3.739779871,3.740393378
3.045,3.754791926,3.755393378
3.06,3.769803733,3.770393378
3.075,3.784815298,3.785393378
3.09,3.799826626,3.800393378
3.105,3.814837722,3.815393378
3.12,3.829848592,3.830393378
3.135,3.844859239,3.845393378
3.15,3.85986967,3.860393378
3.165,3.874879887,3.875393378
3.18,3.889889897,3.890393378
3.195,3.904899703,3.905393378
3.21,3.919909311,3.920393378
3.225,3.934918723,3.935393378
3.24,3.949927945,3.950393378
3.255,3.964936979,3.965393378
3.27,3.979945832,3.980393378
3.285,3.994954505,3.995393378
3.3,4.009963004,4.010393378
3.315,4.024971331,4.025393378
3.33,4.03997949,4.040393378
3.345,4.054987486,4.055393378
3.36,4.06999532,4.070393378
3.375,4.085002998,4.085393378
3.39,4.100010521,4.100393378
3.405,4.115017894,4.115393378
3.42,4.130025119,4.130393378
3.435,4.1450322,4.145393378
3.45,4.160039139,4.160393378
3.465,4.17504594,4.175393378
3.48,4.190052605,4.190393378
3.495,4.205059137,4.205393378
3.51,4.22006554,4.220393378
3.525,4.235071815,4.235393378
3.54,4.250077966,4.250393378
3.555,4.265083994,4.265393378
3.57,4.280089903,4.280393378
3.585,4.295095695,4.295393378
3.6,4.310101372,4.310393378
3.615,4.325106937,4.325393378
3.63,4.340112393,4.340393378
3.645,4.35511774,4.355393378
3.66,4.370122982,4.370393378
3.675,4.385128121,4.385393378
3.69,4.400133159,4.400393378
3.705,4.415138097,4.415393378
3.72,4.430142939,4.430393378
3.735,4.445147685,4.445393378
3.75,4.460152339,4.460393378
3.765,4.475156901,4.475393378
3.78,4.490161374,4.490393378
3.795,4.505165759,4.505393378
3.81,4.520170059,4.520393378
3.825,4.535174275,4.535393378
3.84,4.550178408,4.550393378
3.855,4.565182461,4.565393378
3.87,4.580186435,4.580393378
3.885,4.595190331,4.595393378
3.9,4.610194152,4.610393378
3.915,4.625197898,4.625393378
3.93,4.640201572,4.640393378
3.945,4.655205174,4.655393378
3.96,4.670208707,4.670393378
3.975,4.685212171,4.685393378
3.99,4.700215568,4.700393378
4.005,4.715218899,4.715393378
4.02,4.730222166,4.730393378
4.035,4.74522537,4.745393378
4.05,4.760228512,4.760393378
4.065,4.775231593,4.775393378
4.08,4.790234615,4.790393378
4.095,4.805237579,4.805393378
4.11,4.820240486,4.820393378
4.125,4.835243336,4.835393378
4.14,4.850246132,4.850393378
4.155,4.865248875,4.865393378
4.17,4.880251564,4.880393378
4.185,4.895254203,4.895393378
4.2,4.91025679,4.910393378
4.215,4.925259328,4.925393378
4.23,4.940261818,4.940393378
4.245,4.955264259,4.955393378
4.26,4.970266655,4.970393378
4.275,4.985269004,4.985393378
4.29,5.000271309,5.000393378
4.305,5.015273569,5.015393378
4.32,5.030275787,5.030393378
4.335,5.045277962,5.045393378
4.35,5.060280096,5.060393378
4.365,5.07528219,5.075393378
4.38,5.090284243,5.090393378
4.395,5.105286258,5.105393378
4.41,5.120288234,5.120393378
4.425,5.135290173,5.135393378
4.44,5.150292076,5.150393378
4.455,5.165293942,5.165393378
4.47,5.180295772,5.180393378
4.485,5.195297569,5.195393378
4.5,5.210299331,5.210393378
4.515,5.22530106,5.225393378
4.53,5.240302756,5.240393378
4.545,5.25530442,5.255393378
4.56,5.270306053,5.270393378
4.575,5.285307655,5.285393378
4.59,5.300309227,5.300393378
4.605,5.315310769,5.315393378
4.62,5.330312283,5.330393378
4.635,5.345313768,5.345393378
4.65,5.360315225,5.360393378
4.665,5.375316654,5.375393378
4.68,5.390318057,5.390393378
4.695,5.405319433,5.405393378
4.71,5.420320784,5.420393378
4.725,5.435322109,5.435393378
4.74,5.45032341,5.450393378
4.755,5.465324686,5.465393378
4.77,5.480325939,5.480393378
4.785,5.495327168,5.495393378
4.8,5.510328374,5.510393378
4.815,5.525329557,5.525393378
4.83,5.540330718,5.540393378
4.845,5.555331858,5.555393378
4.86,5.570332977,5.570393378
4.875,5.585334074,5.585393378
4.89,5.600335151,5.600393378
4.905,5.615336209,5.615393378
4.92,5.630337246,5.630393378
4.935,5.645338264,5.645393378
4.95,5.660339264,5.660393378
4.965,5.675340245,5.675393378
4.98,5.690341207,5.690393378
4.995,5.705342152,5.705393378
5.01,5.720343079,5.720393378
5.025,5.735343989,5.735393378
5.04,5.750344882,5.750393378
5.055,5.765345759,5.765393378
5.07,5.780346619,5.780393378
5.085,5.795347464,5.795393378
5.1,5.810348293,5.810393378
5.115,5.825349106,5.825393378
5.13,5.840349905,5.840393378
5.145,5.855350689,5.855393378
5.16,5.870351458,5.870393378
5.175,5.885352214,5.885393378
5.19,5.900352955,5.900393378
5.205,5.915353683,5.915393378
5.22,5.930354397,5.930393378
5.235,5.945355098,5.945393378
5.25,5.960355786,5.960393378
5.265,5.975356462,5.975393378
5.28,5.990357125,5.990393378
5.295,6.005357776,6.005393378
5.31,6.020358415,6.020393378
5.325,6.035359042,6.035393378
5.34,6.050359658,6.050393378
